PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,CC50 Modifier,CC50,CC50 Std Dev Modifier,CC50 Std Dev,CC50 Hill Slope Modifier,CC50 Hill Slope,CC50 Normalized Chi2,% Cell Viability @ 40 uM,% Cell Viability @ 20 uM,% Cell Viability @ 10 uM,% Cell Viability @ 5 uM,% Cell Viability @ 2.5 uM,% Cell Viability @ 1.25 uM,% Cell Viability @ 0.625 uM,% Cell Viability @ 0.313 uM,% Cell Viability @ 0.156 uM,% Cell Viability @ 0.078 uM,Verification
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,Cytotoxic concentration,,,,,,,,,,,,,,,,Data has been verified.
RESULT_UNIT,,,,,,,,MICROMOLAR,,NONE,,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,
554,14745392,4414550,Active,59,,,,22.064,,5.24,,-0.79,7.87,40.44,56.05,65.28,59.57,88.56,97.09,100.99,95.36,106.73,102.83,verified
555,14745434,4837288,Active,60,,,,20.32,,2.07,,-2.63,8.12,4.55,59.56,81,89.18,87.14,94.12,92.62,96.68,98.84,99.54,verified
556,14745528,135512405,Inactive,0,,,,,,,,,,82.06,98.97,95.89,100.08,102.4,101.42,105.91,102.3,98.43,,verified
557,14745672,5371064,Active,80,,,<,0.08,,0.07,,-0.15,4.95,24,28.92,28.6,45.03,42.38,41.02,43.49,46.16,49.07,44.65,verified
558,14745784,2413727,Active,41,,,>,40,,49.34,,-0.83,1.9,78.43,83.42,90.96,95.3,96.01,100.19,101.15,101.57,100.44,102.63,verified
559,14745867,9551997,Active,53,,,,28.114,,2.54,,-2.02,5.88,37.24,57.84,98.73,99.78,94.05,97.09,95.75,103.83,96.66,101.26,verified
560,14745873,2391688,Active,66,,,,14.432,,2.11,,-0.9,6.09,19.91,44.2,64.47,76.39,82.44,86.85,87.93,92.83,93.06,90.97,verified
561,14745875,2394821,Inactive,0,,,,,,,,,,98.19,95.68,99.04,94.52,99.69,98.04,99.72,94.12,96.64,95.27,verified
562,14745913,6262269,Inactive,0,,,,,,,,,,86.24,87.17,90.47,93.06,90.29,97.92,98.28,99.15,105.49,98.28,verified
563,14745939,2101504,Active,41,,,>,40,,1.64,,-4.5,2.69,59.41,97.06,99.91,100.81,101.19,105.71,100.99,98.81,104.46,100.89,verified
564,14746260,135458955,Inactive,0,,,,,,,,,,102.92,97.9,101.14,95.31,104.3,99.22,100.91,94.97,100.64,95.69,verified
565,14746478,2382936,Active,71,,,,10.079,,0.49,,-2.89,4.13,2.97,9.11,52.55,87.01,96.01,92.57,95.17,94.2,97.32,100.06,verified
566,14746532,135415845,Inactive,0,,,,,,,,,,92.98,97.03,96.14,95.03,101.98,99.43,92.6,102.29,97.04,95.89,verified
567,14746574,5216640,Active,41,,,>,40,,113.56,,-0.56,6.85,58.24,83.99,83,94.51,92.3,92.5,89.22,89.08,91.67,94.84,verified
568,14746739,2563873,Inactive,0,,,,,,,,,,95.85,92.92,97.13,95.22,100.76,101.59,100.63,94.27,96.4,,verified
569,14746745,3248311,Active,41,,,>,40,,16.15,,-0.99,3.83,67.15,70.76,88.39,94.22,99.88,101.65,97.36,98.92,103.43,,verified
570,14746880,9552038,Inactive,0,,,,,,,,,,97.93,96.69,101.24,94.78,101.23,98.06,101.2,92.76,97.1,,verified
571,14746971,5114916,Inactive,0,,,,,,,,,,86.18,83.16,83.11,90.43,91.11,98.2,98.52,99.14,98.18,95.63,verified
572,14747030,4430653,Inactive,0,,,,,,,,,,92.03,95.79,105.3,103.64,102.6,99.05,100.99,92.97,97.24,99.33,verified
573,14747091,5034600,Active,41,,,>,40,,16.55,,-1.16,3.8,66.76,81.15,90.25,91.99,106.85,97.94,97.02,100.73,100,,verified
574,14747092,2555090,Active,41,,,>,40,,31.99,,-0.83,2.85,71.59,77.79,91.33,93.49,91.15,101.58,100.72,97.94,99.85,100.21,verified
575,14747160,2563734,Active,41,,,>,40,,13.83,,-1.68,3.01,71.84,92.63,95.15,93.73,98.34,100.19,97.3,95.51,99.95,97.81,verified
576,16952436,6526694,Active,78,,,,2.903,,0.23,,-1.47,4.67,3.53,6.68,15.61,28.09,53.31,85.53,87.9,89.68,94.43,,verified
577,16952588,135501955,Active,41,,,>,40,,9.36,,-1.63,3.7,65.95,83.58,96.44,99.48,100.57,95.58,106.14,97.47,93.89,99.61,verified
578,16952598,3912756,Active,61,,,,20.256,,1.92,,-1.29,4.84,32.12,44.91,74.17,89.47,92.38,94.01,98.66,95.21,93.48,92.38,verified
579,16952601,9570273,Active,42,,,,38.981,,3.82,,-2.82,7.14,48.04,86.92,101.13,84.45,92.98,97.71,98.45,96.19,93.44,,verified
580,16952667,9608889,Inactive,0,,,,,,,,,,91.94,94.64,96.34,94.64,92.61,98.23,101.64,98.6,102.55,98.12,verified
581,16952731,4588070,Active,41,,,>,40,,170.09,,-0.87,4.08,79.93,93.26,86.13,99.41,100.12,97.01,102.35,95.96,99.65,,verified
582,16952767,6902861,Inactive,0,,,,,,,,,,97.93,96.74,95.38,95.62,95.79,100.14,94.72,95.32,92.39,,verified
583,16952845,11834410,Active,56,,,,24.378,,1.2,,-2.82,4,16.93,67.28,87.88,93.72,93.97,101.3,99.71,101.83,98.49,,verified
584,16952853,730291,Inactive,0,,,,,,,,,,83.68,98.33,98.43,92.57,96.37,96.06,98.84,88.96,97.54,91.72,verified
585,16952893,3686662,Active,72,,,,8.914,,1.75,,-3.82,6.3,2.62,4.31,,89.76,103.69,85.98,95.48,99.05,105.78,101.54,verified
586,16952915,135501960,Active,53,,,,28.217,,1.39,,-3.23,4.21,23.99,76.36,92.22,106.39,98.77,99.57,105.33,95.9,103.31,,verified
587,16952934,3213234,Active,41,,,>,40,,56.74,,-0.93,3.83,73.89,85.92,92.26,95.45,94.19,102.02,99.42,99.91,91.68,94.75,verified
588,16952946,2870897,Active,57,,,,24.175,,1.26,,-1.64,3.04,31.45,56.6,81.51,90.65,100.76,105.65,99.2,99.91,97.68,,verified
589,16952948,9566955,Active,60,,,,20.669,,1.66,,-1.31,4.1,34.58,46.49,70.97,85.99,99.3,101.01,98.95,101.13,106.57,99.2,verified
590,16952970,2465217,Inactive,0,,,,,,,,,,93.98,99.42,96.16,101.29,102.67,97.66,101.27,96.25,102.04,91.85,verified
591,16953091,11834425,Inactive,0,,,,,,,,,,102.17,98.92,104.21,100.35,103.22,95.87,99.57,101.47,102.89,103.72,verified
592,16953183,1441417,Active,69,,,,11.661,,0.57,,-5.96,4.14,3.16,3.61,71.48,98.58,97.76,102.65,98.67,91.49,100.7,93.67,verified
593,16953221,338046,Inactive,0,,,,,,,,,,94.51,100.6,102.54,105.21,94.77,98.87,104.13,98.07,102.21,105.03,verified
594,16953260,2442646,Inactive,0,,,,,,,,,,94.63,97.9,101.13,97.68,95.95,101.37,103.95,104.65,98.2,103.2,verified
595,16953325,3762369,Active,41,,,>,40,,10.58,,-1.18,6.95,47.82,80.75,86.27,91.72,92.32,88.23,92.9,100.18,91.54,93.47,verified
596,16953369,4965589,Active,41,,,>,40,,241.42,,-0.6,5.05,70.04,88.71,92.3,92.91,91.88,87.42,98.73,99.94,97.32,94.48,verified
597,16953552,11834470,Active,77,,,,3.132,,0.38,,-1.65,7.61,1.71,1.73,4.13,30.31,70.99,77.55,82.15,94,90.57,99.37,verified
598,16953603,3739063,Inactive,0,,,,,,,,,,88.57,96.98,96.31,97.03,100.3,100.3,94.74,99.81,98.25,97.59,verified
599,16953644,2124930,Inactive,0,,,,,,,,,,84.45,88.9,89.37,92.11,92.15,90.3,90.62,93.91,94.74,91.99,verified
600,16953774,2370916,Inactive,0,,,,,,,,,,90.58,94.57,90.08,94.05,95.14,102.46,96.67,101.66,94.72,,verified
601,16953799,4881824,Active,41,,,>,40,,2342.92,,-0.42,3.97,78.79,89.75,94.41,86.99,96.6,91.49,98.56,92.58,99.35,99.44,verified
602,16953865,4094710,Active,67,,,,13.79,,1.25,,-1.32,4.93,28.21,33.07,55.61,82.43,94.48,96.38,103.72,97.14,96.63,97.72,verified
603,17385656,2436417,Inactive,0,,,,,,,,,,87.28,83.5,89.15,97.84,92,97.6,94.2,102.16,103.95,100.63,verified
604,17385788,135490256,Active,69,,,,11.958,,2.44,,-0.83,8.21,20.85,40.55,68.48,60.27,65.47,91.23,95.59,99.92,95.78,100.99,verified
605,17385790,325448,Active,73,,,,7.247,,0.67,,-2.41,6.98,12.43,18.07,22.04,76.59,92.64,99.05,94.26,96.56,97.59,101.26,verified
606,17385828,825043,Inactive,0,,,,,,,,,,98.33,95.87,97.16,105.69,97.89,94.53,99.36,101.24,100.87,101.03,verified
607,17385866,1036854,Inactive,0,,,,,,,,,,93.84,89.93,94.22,93.7,101.41,93.05,97.5,101.13,92.55,93.15,verified
608,17385872,3600385,Active,41,,,>,40,>,9999,,-0.24,4,74.81,87.91,90.71,90.75,88.69,94.38,90.28,94.6,91.18,92.08,verified
609,17385916,1399593,Inactive,0,,,,,,,,,,89.2,81.06,95.34,89.9,97.42,95.5,96.78,93.94,89.97,98.34,verified
610,17386044,1214621,Inactive,0,,,,,,,,,,82.38,93.11,92.42,96.73,96.78,99.56,90.47,100.06,102.36,94.8,verified
611,17386124,1005641,Inactive,0,,,,,,,,,,94.31,97.35,96.61,95.43,98.36,100.67,106.48,98.86,104.18,95.17,verified
612,17386215,135490278,Active,72,,,,8.564,,2.16,,-0.6,8.33,26.68,34,56.26,60.79,71.17,59.7,78.87,87.29,100.39,103.72,verified
613,17386276,1235256,Active,41,,,>,40,,31.36,,-1.21,5.2,67.7,90.41,93.48,93.28,92.19,97.15,99.77,91.43,98.89,93.26,verified
614,17386298,996186,Inactive,0,,,,,,,,,,94.02,93.11,101.19,102.8,99.35,96.2,92.03,99.45,100.35,100.46,verified
615,17386317,1766037,Inactive,0,,,,,,,,,,85.2,87.55,88.73,98.07,103.28,99.16,97.76,92.88,101.28,,verified
616,17386330,135490284,Inactive,0,,,,,,,,,,81.18,99.52,95.65,101.51,103.83,101.39,104.89,100.25,101.15,106.42,verified
617,17386361,850681,Inactive,0,,,,,,,,,,86.83,92.97,92.32,99.15,93.48,100.09,101.28,92.06,96.09,94.67,verified
618,17386454,998366,Active,58,,,,22.657,,2.2,,-1.12,4.28,36.21,48.35,75.48,86.43,93.29,93.13,91.21,99.04,95.45,95.45,verified
619,17386486,1236179,Inactive,0,,,,,,,,,,94.79,91.7,91.64,100.31,96.78,105.06,95.13,90.03,109.11,101.13,verified
620,17386508,899349,Inactive,0,,,,,,,,,,91.57,97.47,103.33,98.32,104.76,101.74,101.16,104.08,104.8,102.89,verified
621,17386587,5103080,Active,41,,,>,40,,10.72,,-2.71,4.56,71.78,93.55,100.9,100.69,105.32,92.22,98.56,94.92,106,102.94,verified
622,17386676,11837799,Inactive,0,,,,,,,,,,87.5,90.86,94.53,95.22,92.33,96.14,88.82,92.71,80.95,,verified
623,17386677,1791929,Active,41,,,>,40,,9.71,,-1.17,7.66,57.88,59.38,76.72,106.66,99.54,103.29,98.54,101.84,100.83,97.55,verified
624,17386723,1800990,Active,41,,,>,40,,15.63,,-1.72,2.43,76.58,90.68,98.06,99.94,100.8,97.86,94.34,100.61,98.15,97.92,verified
625,17386753,11948799,Active,57,,,,23.414,,1.81,,-2.97,6.48,12.11,66.7,86.41,85.95,102.28,96.38,99.83,96.13,101.1,,verified
626,17386889,1006357,Inactive,0,,,,,,,,,,87.02,89.75,89.81,90.86,93.07,96.5,93.24,94.79,91.61,89.08,verified
627,17386898,9511286,Active,41,,,>,40,,62.35,,-0.87,2.51,75.91,88.05,93.77,94.65,99.05,94.1,96.98,96.28,98.57,98.9,verified
628,17386941,6048412,Inactive,0,,,,,,,,,,80.32,92.87,97.83,97.92,98.59,103.03,98.14,102.28,100.17,97.2,verified
629,17386998,7314658,Active,69,,,,11.475,,1.54,,-1.01,6.26,27.48,38.71,49.31,63.57,78.27,103.27,100.17,98.07,101.92,100.46,verified
630,17387040,56642823,Inactive,0,,,,,,,,,,93.46,92.23,96.51,96.84,99.94,101.02,100.16,98.3,98.03,96.54,verified
631,17387078,852506,Active,41,,,>,40,,428.86,,-0.6,3.15,79.83,88.2,93.37,96.47,97.29,94.79,94.02,100.67,93.96,96.82,verified
632,17387164,4885570,Active,41,,,,39.506,,5.39,,-0.91,3.69,47.97,65.9,79.35,86.29,94.9,93.78,97.25,91.14,93.61,100.22,verified
633,17387225,584971,Inactive,0,,,,,,,,,,85.21,89.38,95.26,98.12,96.91,102.37,98.15,100.67,97.95,96.94,verified
634,17387228,1615034,Inactive,0,,,,,,,,,,92.18,97.4,94.38,91.92,94.51,99.56,98.36,91.87,92.23,97.99,verified
635,17387294,990305,Active,48,,,,32.948,,1.98,,-1.81,3.33,43.74,66.26,92.69,100.49,102.21,98.6,103.41,98.97,99.67,103.4,verified
636,17387350,6382475,Inactive,0,,,,,,,,,,97.39,100.31,93.77,103.35,97.53,103.45,98.69,99.2,94.74,103.07,verified
637,17387361,1215863,Active,59,,,,22.031,,1.9,,-1.31,4.33,31.18,52.61,75.93,86.47,88.9,106.42,96.74,94.72,100.23,102.63,verified
638,17387412,3616382,Inactive,0,,,,,,,,,,91.94,87.11,92.83,97.35,96.66,95.89,105.74,91.62,97.07,100.31,verified
639,17387426,999249,Active,41,,,>,40,,11.45,,-0.65,3.42,58.46,61.94,76.27,80.16,92.01,94.38,95.78,98.12,94.51,93.47,verified
640,17387442,9606709,Active,41,,,>,40,,3.36,,-2.73,4.53,55.38,91.03,93.63,99.8,97.54,100.9,98.05,105.09,90.88,,verified
641,17387509,135403586,Active,62,,,,18.85,,5.48,,-0.72,9.32,37.39,55.63,59.53,54.17,86.72,100.67,92.09,90.26,99.88,,verified
642,17387574,851428,Inactive,0,,,,,,,,,,99.31,94.45,98.49,94.52,97.6,103.01,102.09,99.03,97.48,97.38,verified
643,17387587,5455865,Active,41,,,>,40,,2.3,,-2.23,1.89,60.52,87.44,97.77,100.23,96.21,101.29,96.74,100.92,100.54,100.56,verified
644,17387650,135475213,Active,41,,,>,40,,5.27,,-1.4,3,58.24,76.44,93.31,98.96,92.64,96.19,97.31,99.42,98.95,100,verified
645,17387679,1020611,Active,41,,,>,40,,13.62,,-0.86,2.21,64.5,78.29,87.13,91.84,93.79,100.47,94.47,96.6,99.61,98.64,verified
646,17387987,901979,Active,68,,,,13.133,,1.25,,-1.49,5.64,20.19,27.59,63.19,87.39,82.9,98.49,92.56,98.69,100.37,99.44,verified
647,17387996,5865129,Active,41,,,>,40,,24.67,,-1.34,4.4,68.95,92.25,93.3,90.87,95.13,99.97,102.16,96.76,94.25,97.83,verified
648,17388004,135490308,Active,41,,,>,40,,5.27,,-1.97,5.65,55.69,75.43,98.07,110.88,102.82,102.61,104.83,101.3,101.86,100.29,verified
649,17388020,6534293,Inactive,0,,,,,,,,,,89.66,91.49,99.97,96.35,99.14,102.89,101.97,104.49,96.64,90.45,verified
650,17388021,4044167,Inactive,0,,,,,,,,,,90.06,94.61,95.98,96.09,99.27,99.65,100.37,101.41,100.09,101.99,verified
651,17388046,3152694,Inactive,0,,,,,,,,,,83.46,94.8,93.12,96.4,98.48,101.25,99.43,100.84,101.22,,verified
652,17388089,2792369,Active,41,,,>,40,,39.19,,-0.7,2.4,68.72,82.47,87.49,88.63,94.38,97.48,98.17,97.41,94.89,,verified
653,17388227,1072944,Inactive,0,,,,,,,,,,104.5,104.94,100.59,97.93,99.2,97.73,103.72,98.12,101.67,96.48,verified
654,17388346,9541466,Active,41,,,>,40,,24.64,,-1.54,4.3,74.02,88.4,96.33,96.65,101.84,105.06,106.03,107.1,101.18,104.61,verified
655,17388567,7313804,Active,55,,,,26.168,,4.09,,-1.12,6.46,37.93,59.5,68.11,92.77,98.53,94.68,91.08,90.41,94.63,92.34,verified
656,17401118,6266149,Active,41,,,>,40,,17.75,,-0.95,3.31,66.88,73.95,93.11,91.19,98.82,97.63,97.29,95.78,96.99,99.91,verified
657,17401144,135510929,Active,57,,,,24.128,,10.07,,-0.54,9.54,28.76,59.98,68.15,75.14,86.12,79.16,70.91,88.13,93.42,98.08,verified
658,17401154,6401469,Active,41,,,>,40,,16.32,,-1.38,3.28,70.01,88.52,90.08,96.96,102.69,101.13,103.1,105.09,100.52,,verified
659,17401177,4103346,Active,45,,,,35.849,,2,,-2.04,3.23,45.49,74.05,95.7,100.22,102.47,97.8,97.25,96.28,105.43,101.21,verified
660,17401350,101246,Inactive,0,,,,,,,,,,99.68,95.23,92.4,97.46,99.59,100.3,94.31,97.55,97.2,102.52,verified
661,17401397,4002395,Active,41,,,>,40,,10.68,,-1.18,6.08,55.5,69.83,95.83,90.81,93.67,96.37,94.03,95.15,89.78,96,verified
662,17401542,135510936,Active,66,,,,14.671,,2.98,,-0.73,7.15,28.94,55.78,56.47,57.31,72.46,92.39,96.92,98.12,97.91,100.11,verified
663,17401721,1860843,Inactive,0,,,,,,,,,,90.51,89.38,101.21,100.92,99.84,104.07,100.55,99.51,97.11,99.97,verified
664,17402121,1476315,Inactive,0,,,,,,,,,,87.17,82.26,94.4,94.79,94.95,99.64,101.86,100.43,99.94,101.71,verified
665,17402136,3762355,Active,41,,,>,40,,66.07,,-1.28,4.46,79.93,88.86,96.67,97.29,102.75,96.96,100.69,110.67,100.23,,verified
666,17402203,5919679,Active,41,,,>,40,,5.89,,-2.34,2.63,69.41,91.93,99.71,95.64,100.35,97.82,101.54,105.44,99.61,99.91,verified
667,17402227,1474148,Active,64,,,,16.868,,4.46,,-0.92,10.81,11.01,60.74,72.33,76.63,76.52,81.35,92.11,97.8,96.04,100.98,verified
668,17402256,3284314,Inactive,0,,,,,,,,,,88.71,96.66,96.61,96.07,98.3,94.57,92.22,90.69,91.62,97.06,verified
669,17402401,5916006,Active,41,,,>,40,,24.85,,-1.08,4.01,69.6,81.99,89.45,92.97,103.47,102.68,98.21,100.67,92.83,104.61,verified
670,17402431,1471937,Active,69,,,,11.533,,0.56,,-3.12,4.19,2.04,12.15,64.12,88.09,95.41,96.25,93.69,96.14,96.62,98.67,verified
671,17402448,1489055,Active,46,,,,34.734,,0.69,,-3.22,1.72,38.68,86.12,96.17,99.53,98.01,99.8,97.36,99.74,97.74,,verified
672,17402488,3701150,Active,52,,,,29.205,,2.79,,-1.33,4.34,41.5,61.46,76.3,94.02,101.56,99.75,103.69,94.73,95.16,94.92,verified
673,17402496,2766005,Active,41,,,>,40,,12.12,,-1.16,3.65,61.41,83.32,88.73,93.59,96.48,100.63,95.94,92.89,95.48,99.37,verified
674,17402536,4552527,Active,41,,,>,40,,4.6,,-1.23,3.63,52.99,66.99,87.87,89.99,103,97.48,98.56,102.2,101.85,104.44,verified
675,17402582,6505706,Inactive,0,,,,,,,,,,87,94.75,95.15,95.34,96.66,94.35,100.34,99.22,101.86,,verified
676,17402608,5825353,Active,41,,,>,40,,6.1,,-1.41,4.07,57.43,72.51,93.5,96.15,103.09,96.81,97.23,94.26,95.68,96.64,verified
677,17402757,3798960,Active,65,,,,15.674,,1.43,,-2.26,6.69,12.6,33.95,75.98,93.95,91.55,92.96,89.87,93.8,92.76,92.54,verified
678,17402897,3709085,Inactive,0,,,,,,,,,,94.33,93.83,96.54,98.52,100.59,97.62,98.78,95.3,98.84,99.77,verified
679,17403126,2884084,Active,41,,,>,40,,21.06,,-1.17,6.67,59.86,83.38,92.95,90.69,97.33,92.86,94.14,90.35,88.34,96.99,verified
680,17403161,3119619,Inactive,0,,,,,,,,,,102.13,94.29,100.11,102.54,101.4,101.54,96.73,107.24,101.39,,verified
681,17403237,3119208,Active,41,,,>,40,,66.81,,-0.92,2.75,78.92,85.86,90.73,98.89,99.94,97.27,97.97,98.7,105.35,97.49,verified
682,17403258,1091072,Active,41,,,>,40,,7.5,,-1.53,0.8,78.08,91.66,95.98,99.46,98.88,99.97,100.43,99.33,101.64,99.97,verified
683,17403492,826461,Active,41,,,>,40,,50.99,,-0.76,3.29,68.24,85.45,89.45,92.85,93.09,96.75,96.3,96.64,93.3,99.08,verified
684,17403551,5717050,Inactive,0,,,,,,,,,,96.69,102.34,97.75,100.08,108.84,101.54,104.07,109.74,102.73,,verified
685,17406683,4279676,Active,41,,,>,40,,28.64,,-1.53,3.58,76.86,90.55,93.77,104.16,98.3,100.28,96.24,101.31,106.17,103.22,verified
686,17406686,588601,Inactive,0,,,,,,,,,,104.7,98.73,101.48,105.32,97.51,99.66,102.24,97.75,100.37,98.67,verified
687,17406721,1818166,Inactive,0,,,,,,,,,,92.98,88.17,94.6,97.68,99.81,99.7,103.39,105.92,99.84,103.29,verified
